order_id,order_date,quantity,discount,revenue,price,category,income_band,age,gender
1,2023-12-08,1,0.1,1578.6000000000001,1754.0,Beauty,High,53,Female
2,2023-05-08,4,0.0,3124.0,781.0,Beauty,Low,58,Male
3,2023-10-26,2,0.0,1502.0,751.0,Beauty,High,31,Male
4,2023-12-22,2,0.0,3138.0,1569.0,Beauty,High,50,Male
5,2023-09-07,1,0.0,1501.0,1501.0,Fashion,Low,57,Female
6,2023-11-07,2,0.0,3696.0,1848.0,Electronics,High,60,Male
7,2023-10-17,2,0.0,2120.0,1060.0,Electronics,High,52,Male
8,2023-11-11,3,0.0,12366.0,4122.0,Electronics,Low,37,Female
9,2023-07-03,3,0.2,11851.2,4938.0,Fashion,High,51,Female
10,2023-12-03,2,0.0,2120.0,1060.0,Electronics,High,36,Female
11,2023-07-25,4,0.2,15651.2,4891.0,Beauty,Mid,23,Male
12,2023-05-16,2,0.2,6960.0,4350.0,Beauty,Mid,32,Male
13,2023-11-27,1,0.0,2499.0,2499.0,Fashion,Mid,26,Male
14,2023-03-30,2,0.0,3834.0,1917.0,Beauty,Low,48,Female
15,2023-03-03,2,0.0,3138.0,1569.0,Beauty,High,53,Female
16,2023-10-26,1,0.0,4945.0,4945.0,Electronics,High,47,Female
17,2023-12-09,1,0.1,3492.0,3880.0,Fashion,Mid,55,Male
18,2023-08-28,3,0.2,1977.6000000000001,824.0,Beauty,High,34,Female
19,2023-01-31,2,0.2,894.4000000000001,559.0,Fashion,High,23,Male
20,2023-09-27,4,0.0,18976.0,4744.0,Fashion,High,32,Male
21,2023-06-18,4,0.0,3296.0,824.0,Beauty,Low,26,Female
22,2023-01-13,1,0.0,2600.0,2600.0,Fashion,High,30,Female
23,2023-09-04,1,0.0,3178.0,3178.0,Beauty,High,43,Female
24,2023-09-08,3,0.1,11280.6,4178.0,Fashion,Low,24,Female
25,2023-04-05,1,0.0,781.0,781.0,Beauty,Mid,38,Female
26,2023-08-15,4,0.2,4048.0,1265.0,Beauty,Mid,50,Female
27,2023-06-19,4,0.2,14979.2,4681.0,Electronics,Mid,27,Male
28,2023-06-17,2,0.2,7590.400000000001,4744.0,Fashion,Mid,52,Female
29,2023-08-04,4,0.2,7139.200000000001,2231.0,Fashion,Mid,37,Female
30,2023-06-17,3,0.2,3696.0,1540.0,Beauty,Low,20,Male
31,2023-11-03,3,0.0,12096.0,4032.0,Beauty,Low,57,Male
32,2023-02-05,4,0.0,6496.0,1624.0,Beauty,Low,30,Male
33,2023-01-18,2,0.0,8126.0,4063.0,Fashion,Low,28,Male
34,2023-04-28,2,0.0,6080.0,3040.0,Beauty,Mid,40,Male
35,2023-06-12,1,0.0,928.0,928.0,Fashion,Mid,56,Female
36,2023-12-31,4,0.0,3296.0,824.0,Beauty,High,51,Female
37,2023-11-13,3,0.2,5896.8,2457.0,Electronics,High,24,Female
38,2023-05-13,2,0.0,8466.0,4233.0,Beauty,Mid,56,Male
39,2023-10-26,4,0.1,15040.800000000001,4178.0,Fashion,High,52,Male
40,2023-12-18,2,0.0,4706.0,2353.0,Beauty,High,59,Male
41,2023-02-09,3,0.0,10275.0,3425.0,Electronics,Mid,48,Female
42,2023-11-13,1,0.2,562.4,703.0,Fashion,Low,54,Female
43,2023-05-17,4,0.0,10252.0,2563.0,Fashion,High,43,Female
44,2023-11-18,3,0.0,14043.0,4681.0,Electronics,Low,57,Female
45,2023-04-05,3,0.0,3180.0,1060.0,Electronics,Mid,52,Female
46,2023-03-07,1,0.2,1533.6000000000001,1917.0,Beauty,Mid,59,Female
47,2023-01-31,1,0.0,2458.0,2458.0,Electronics,Mid,47,Female
48,2023-10-02,4,0.1,3816.0,1060.0,Electronics,Mid,59,Male
49,2023-05-04,3,0.0,4095.0,1365.0,Electronics,High,57,Female
50,2023-03-27,1,0.0,3480.0,3480.0,Fashion,Low,22,Female
51,2023-04-22,3,0.0,7374.0,2458.0,Electronics,Low,33,Female
52,2023-02-09,2,0.2,5344.0,3340.0,Beauty,High,59,Male
53,2023-03-28,4,0.0,5460.0,1365.0,Electronics,Low,30,Female
54,2023-10-04,1,0.0,4955.0,4955.0,Electronics,Mid,47,Male
55,2023-07-18,2,0.0,9766.0,4883.0,Beauty,High,25,Male
56,2023-04-28,3,0.1,9396.0,3480.0,Fashion,Mid,33,Male
57,2023-04-22,4,0.1,17776.8,4938.0,Fashion,Low,25,Female
58,2023-11-26,3,0.0,11091.0,3697.0,Beauty,High,43,Male
59,2023-12-05,4,0.1,3816.0,1060.0,Electronics,High,24,Female
60,2023-02-21,2,0.1,3767.4,2093.0,Beauty,High,26,Female
61,2023-11-12,3,0.0,4764.0,1588.0,Fashion,Low,32,Male
62,2023-04-12,1,0.0,4883.0,4883.0,Beauty,Low,56,Male
63,2023-04-03,1,0.0,2231.0,2231.0,Fashion,High,37,Female
64,2023-02-16,1,0.2,3964.0,4955.0,Electronics,High,55,Male
65,2023-12-24,2,0.0,5604.0,2802.0,Fashion,Mid,47,Female
66,2023-02-14,3,0.2,7296.0,3040.0,Beauty,Low,50,Male
67,2023-01-25,2,0.1,5472.0,3040.0,Beauty,High,49,Female
68,2023-08-22,2,0.0,4914.0,2457.0,Electronics,High,46,Male
69,2023-02-16,3,0.0,2253.0,751.0,Beauty,Low,55,Male
70,2023-04-08,2,0.2,6772.8,4233.0,Beauty,High,43,Male
71,2023-12-31,1,0.1,917.1,1019.0,Electronics,Mid,38,Female
72,2023-08-24,1,0.1,2349.0,2610.0,Fashion,High,50,Male
73,2023-11-05,1,0.0,928.0,928.0,Fashion,Mid,37,Male
74,2023-12-25,2,0.0,9766.0,4883.0,Beauty,Mid,29,Female
75,2023-12-11,4,0.0,13700.0,3425.0,Electronics,Low,49,Male
76,2023-05-06,4,0.0,7668.0,1917.0,Beauty,High,44,Male
77,2023-09-02,4,0.0,19532.0,4883.0,Beauty,Low,32,Male
78,2023-02-04,2,0.1,6165.0,3425.0,Electronics,Mid,46,Male
79,2023-07-16,1,0.0,1754.0,1754.0,Beauty,Low,23,Male
80,2023-01-11,4,0.0,15520.0,3880.0,Fashion,Mid,18,Female
81,2023-11-19,2,0.0,8356.0,4178.0,Fashion,Low,41,Male
82,2023-01-28,4,0.0,3296.0,824.0,Beauty,High,18,Male
83,2023-11-01,3,0.1,10886.4,4032.0,Beauty,Mid,51,Female
84,2023-08-03,4,0.0,4240.0,1060.0,Electronics,High,40,Male
85,2023-09-22,2,0.1,4015.8,2231.0,Fashion,Mid,43,Male
86,2023-11-08,4,0.2,13100.800000000001,4094.0,Fashion,Mid,44,Male
87,2023-10-26,4,0.1,1969.2,547.0,Electronics,High,36,Female
88,2023-06-21,3,0.2,7296.0,3040.0,Beauty,High,25,Male
89,2023-12-11,2,0.1,2701.8,1501.0,Fashion,Low,51,Female
90,2023-06-28,4,0.0,13360.0,3340.0,Beauty,Mid,48,Female
91,2023-02-16,2,0.0,5200.0,2600.0,Fashion,High,50,Male
92,2023-11-29,2,0.0,8244.0,4122.0,Electronics,Mid,34,Male
93,2023-10-24,3,0.0,12366.0,4122.0,Electronics,High,48,Male
94,2023-11-20,1,0.1,2342.7000000000003,2603.0,Electronics,Low,31,Male
95,2023-10-10,4,0.1,4554.0,1265.0,Beauty,High,39,Male
96,2023-08-01,2,0.2,1201.6000000000001,751.0,Beauty,Mid,56,Male
97,2023-12-14,2,0.1,3864.6,2147.0,Electronics,Low,22,Female
98,2023-10-19,3,0.0,1677.0,559.0,Fashion,Low,42,Female
